period,red1,red2,red3,red4,red5,red6,blue,jackpot,first_prize_count,first_prize_amount,second_prize_count,second_prize_amount,total_bet_amount,draw_date
12065,8,10,18,19,27,31,14,967890880,16,0,152,0,0,2012-06-05
12066,1,2,9,26,29,33,12,994657342,7,0,158,0,0,2012-06-07
12067,4,5,10,21,26,30,16,994705580,10,0,181,0,0,2012-06-10
12068,5,17,22,26,32,33,10,462930039,117,0,120,0,0,2012-06-12
12069,8,10,11,18,20,29,6,404395639,19,0,250,0,0,2012-06-14
12070,2,3,4,24,31,32,11,387991070,10,0,121,0,0,2012-06-17
12071,3,4,19,21,22,23,8,380122544,8,0,104,0,0,2012-06-19
12072,2,3,7,9,13,30,6,433951832,2,0,96,0,0,2012-06-21
12073,4,7,9,10,17,27,5,428293280,8,0,169,0,0,2012-06-24
12074,15,16,18,19,28,32,8,451774750,5,0,70,0,0,2012-06-26
12075,4,6,22,23,29,32,11,379783084,23,0,77,0,0,2012-06-28
12076,11,18,22,27,29,30,15,417549411,3,0,81,0,0,2012-07-01
12077,2,4,13,18,26,28,12,435495895,5,0,79,0,0,2012-07-03
12078,8,15,22,24,28,33,12,460539066,6,0,90,0,0,2012-07-05
12079,6,7,12,24,30,33,12,510135120,4,0,127,0,0,2012-07-08
12080,4,9,14,15,16,27,3,455696645,17,0,181,0,0,2012-07-10
12081,2,5,10,24,25,29,6,381747300,22,0,232,0,0,2012-07-12
12082,2,4,11,18,22,29,6,393473628,9,0,269,0,0,2012-07-15
12083,4,9,14,15,26,33,4,408072063,7,0,180,0,0,2012-07-17
12084,2,10,20,26,28,29,14,432286812,6,0,100,0,0,2012-07-19
12085,5,17,24,30,31,33,5,433345662,9,0,108,0,0,2012-07-22
12086,8,9,13,15,22,23,8,384956516,14,0,209,0,0,2012-07-24
12087,3,10,11,13,14,22,9,382169550,5,0,125,0,0,2012-07-26
12088,3,5,23,24,27,31,15,408504504,6,0,122,0,0,2012-07-29
12089,3,7,10,13,14,25,11,390866674,11,0,111,0,0,2012-07-31
12090,2,13,20,25,29,30,11,403072608,8,0,67,0,0,2012-08-02
12091,1,5,7,8,19,21,16,409582663,7,0,198,0,0,2012-08-05
12092,6,13,17,18,28,32,3,395589720,10,0,218,0,0,2012-08-07
12093,3,5,19,21,24,33,13,401835325,5,0,68,0,0,2012-08-09
12094,6,9,14,16,23,33,15,455299281,3,0,120,0,0,2012-08-12
12095,17,24,27,28,29,30,2,476949363,3,0,92,0,0,2012-08-14
12096,4,7,11,16,29,33,7,438439386,11,0,124,0,0,2012-08-16
12097,5,8,13,14,19,22,6,406141750,14,0,240,0,0,2012-08-19
12098,2,12,19,26,29,31,9,367918020,12,0,107,0,0,2012-08-21
12099,8,12,15,16,21,27,16,375116456,8,0,137,0,0,2012-08-23
12100,5,7,15,18,25,33,10,358179682,7,0,150,0,0,2012-08-26
12101,9,12,17,18,20,33,2,387938748,4,0,61,0,0,2012-08-28
12102,13,25,27,28,29,30,15,422818756,4,0,122,0,0,2012-08-30
12103,4,9,11,14,32,33,2,452814888,6,0,80,0,0,2012-09-02
12104,4,5,9,10,19,28,3,387091800,20,0,176,0,0,2012-09-04
12105,6,13,14,15,17,30,4,388189976,8,0,110,0,0,2012-09-06
12106,13,14,20,22,23,32,16,415639168,7,0,72,0,0,2012-09-09
12107,11,12,15,24,25,31,9,379185521,13,0,127,0,0,2012-09-11
12108,1,9,12,13,19,28,13,379109848,8,0,139,0,0,2012-09-13
12109,2,12,24,26,29,31,3,407340330,6,0,93,0,0,2012-09-16
12110,3,7,10,13,22,32,9,368850496,16,0,218,0,0,2012-09-18
12111,2,9,10,20,22,31,13,414514056,3,0,127,0,0,2012-09-20
12112,8,15,20,21,27,31,6,273440988,34,0,203,0,0,2012-09-23
12113,3,6,9,13,18,32,6,248404494,13,0,162,0,0,2012-09-25
12114,1,6,11,26,27,29,15,287406651,3,0,115,0,0,2012-09-27
12115,3,8,20,24,26,32,14,301924301,7,0,86,0,0,2012-09-30
12116,3,21,26,29,31,32,3,332066730,3,0,44,0,0,2012-10-02
12117,13,15,18,20,24,28,9,322454248,8,0,108,0,0,2012-10-04
12118,5,6,7,12,15,28,11,302161536,12,0,166,0,0,2012-10-07
12119,12,20,25,26,27,28,13,99452500,50,0,85,0,0,2012-10-09
12120,1,4,20,24,28,29,16,153908152,2,0,77,0,0,2012-10-11
12121,1,7,8,20,23,24,11,177801852,6,0,124,0,0,2012-10-14
12122,12,13,19,22,28,29,11,196627122,6,0,100,0,0,2012-10-16
12123,8,10,16,25,28,33,9,183343281,11,0,78,0,0,2012-10-18
12124,6,7,21,25,27,33,11,215939945,5,0,158,0,0,2012-10-21
12125,8,12,13,26,29,33,1,153184560,20,0,244,0,0,2012-10-23
12126,3,5,12,15,23,24,7,110723595,15,0,169,0,0,2012-10-25
12127,1,9,11,21,26,32,8,89047863,9,0,95,0,0,2012-10-28
12128,5,9,12,29,30,31,5,82840707,9,0,135,0,0,2012-10-30
12129,1,7,9,17,21,29,1,147922890,2,0,92,0,0,2012-11-01
12130,1,3,15,20,22,31,3,189092919,3,0,59,0,0,2012-11-04
12131,6,18,19,26,28,32,12,94889844,21,0,207,0,0,2012-11-06
12132,7,12,16,17,21,25,10,73103371,11,0,92,0,0,2012-11-08
12133,1,8,11,20,21,29,2,74740968,9,0,210,0,0,2012-11-11
12134,2,5,6,7,13,23,15,118317829,1,0,84,0,0,2012-11-13
12135,2,5,7,8,11,17,16,137915685,5,0,96,0,0,2012-11-15
12136,2,7,8,17,21,28,11,30000000,37,0,155,0,0,2012-11-18
12137,1,2,4,6,13,17,7,53913486,6,0,34,0,0,2012-11-20
12138,1,7,16,17,19,21,14,94959540,4,0,109,0,0,2012-11-22
12139,8,19,21,24,28,31,15,141340986,6,0,62,0,0,2012-11-25
12140,14,18,27,30,31,33,15,147010059,9,0,188,0,0,2012-11-27
12141,3,5,8,19,20,27,9,34662735,27,0,211,0,0,2012-11-29
12142,5,18,22,28,29,31,6,30000000,13,0,80,0,0,2012-12-02
12143,7,8,18,25,30,32,6,30000000,12,0,130,0,0,2012-12-04
12144,3,10,12,13,27,30,4,30000000,25,0,125,0,0,2012-12-06
12145,5,20,26,27,28,33,3,69528065,5,0,112,0,0,2012-12-09
12146,1,5,7,13,29,32,13,80298625,5,0,107,0,0,2012-12-11
12147,2,12,15,23,24,32,9,79342832,8,0,170,0,0,2012-12-13
12148,3,6,11,17,21,31,7,30000000,64,0,1293,0,0,2012-12-16
12149,1,5,13,25,26,32,13,90787310,2,0,116,0,0,2012-12-18
12150,9,11,17,23,24,26,7,140248364,4,0,92,0,0,2012-12-20
12151,5,14,24,25,26,32,1,154841736,8,0,109,0,0,2012-12-23
12152,10,12,18,22,28,29,7,30000000,36,0,220,0,0,2012-12-25
12153,4,5,11,21,27,28,10,30000000,14,0,167,0,0,2012-12-27
12154,5,7,12,16,28,32,4,72256070,5,0,137,0,0,2012-12-30
13001,6,8,14,15,24,25,6,30000000,20,0,271,0,0,2013-01-01
13002,1,16,18,22,28,30,12,61810900,4,0,63,0,0,2013-01-03
13003,22,23,26,27,28,33,9,98882604,4,0,90,0,0,2013-01-06
13004,6,10,16,20,27,32,8,35567995,17,0,152,0,0,2013-01-08
13005,1,13,14,25,31,32,12,49335143,11,0,117,0,0,2013-01-10
13006,9,10,13,17,22,30,13,82757304,8,0,178,0,0,2013-01-13
13007,2,9,15,22,26,32,1,151606540,2,0,148,0,0,2013-01-15
13008,3,8,17,21,25,32,15,170217234,6,0,311,0,0,2013-01-17
13009,1,4,9,13,16,23,2,195572596,4,0,100,0,0,2013-01-20
13010,1,9,11,17,32,33,12,224151420,5,0,74,0,0,2013-01-22
13011,3,12,17,24,27,29,9,199912372,11,0,113,0,0,2013-01-24
13012,6,14,17,22,28,29,2,260734911,3,0,144,0,0,2013-01-27
13013,5,6,13,19,22,28,9,211416895,19,0,259,0,0,2013-01-29
13014,2,4,5,17,19,20,8,150729380,20,0,235,0,0,2013-01-31
13015,5,6,7,11,13,18,15,202682481,3,0,158,0,0,2013-02-03
13016,2,5,6,12,14,28,5,165350088,12,0,99,0,0,2013-02-05
13017,4,6,12,30,31,32,9,198644874,3,0,93,0,0,2013-02-07
13018,2,8,13,28,29,30,5,193557090,10,0,273,0,0,2013-02-17
13019,1,2,5,16,20,26,6,207401535,5,0,93,0,0,2013-02-19
13020,1,7,8,12,16,21,1,233771560,5,0,145,0,0,2013-02-21
13021,1,6,17,19,26,31,11,239758883,7,0,104,0,0,2013-02-24
13022,2,4,7,9,15,20,7,238299864,6,0,79,0,0,2013-02-26
13023,3,6,15,18,30,32,5,271259788,4,0,145,0,0,2013-02-28
13024,4,5,13,23,27,30,9,222298732,17,0,191,0,0,2013-03-03
13025,16,17,18,24,25,30,8,116448192,27,0,126,0,0,2013-03-05
13026,4,11,14,15,22,31,11,140421744,4,0,95,0,0,2013-03-07
13027,1,2,4,12,21,24,12,136259354,11,0,126,0,0,2013-03-10
13028,7,8,14,25,26,28,13,144919914,6,0,149,0,0,2013-03-12
13029,6,7,10,19,23,29,12,133260864,12,0,473,0,0,2013-03-14
13030,7,14,18,25,26,29,6,146756785,7,0,140,0,0,2013-03-17
13031,3,13,14,15,21,33,3,135583170,10,0,125,0,0,2013-03-19
13032,4,21,25,29,30,33,3,185170708,2,0,68,0,0,2013-03-21
13033,5,6,13,17,19,28,1,34224132,44,0,567,0,0,2013-03-24
13034,6,15,20,22,26,33,9,47229360,8,0,83,0,0,2013-03-26
13035,1,14,15,17,26,30,2,105954843,3,0,78,0,0,2013-03-28
13036,4,5,9,27,29,31,13,118017567,9,0,182,0,0,2013-03-31
13037,2,15,18,27,28,32,14,122337450,6,0,157,0,0,2013-04-02
13038,9,10,12,14,15,19,11,140504290,5,0,95,0,0,2013-04-04
13039,1,2,14,15,24,29,6,158541908,7,0,94,0,0,2013-04-07
13040,2,4,10,12,17,30,10,135009567,11,0,125,0,0,2013-04-09
13041,2,10,12,17,23,24,5,165669831,3,0,295,0,0,2013-04-11
